user_id,name,address,phone_number,email
user001,Elisa Miles,4490 Union Street,206-922-0882,elisa.miles@yahoo.com
user002,Maya Data,4936 Elliot Avenue,206-777-1927,mdata@uw.edu
user003,John Doe,100 Main St,123-456-6789,johndoe@gmail.com
user004,Jane Doe,200 2nd St,345-323-6785,janedoe@gmail.com
user005,Jane Doe,456 Main St,123-456-6789,janedoe@gmail.com
user006,John Doe,664 Main St,123-456-6789,johndoe@gmail.com
user007,John Doe,461 Main St,123-456-6789,johndoe@gmail.com
user008,John Doe,881 Main St,123-456-6789,johndoe@gmail.com
user009,Jane Doe,270 Main St,123-456-6789,janedoe@gmail.com
user010,John Doe,754 Main St,123-456-6789,johndoe@gmail.com
user011,Jane Doe,385 Main St,123-456-6789,janedoe@gmail.com
user012,John Doe,188 Main St,123-456-6789,johndoe@gmail.com
user013,Jane Doe,925 Main St,123-456-6789,janedoe@gmail.com
user014,John Doe,176 Main St,123-456-6789,johndoe@gmail.com
user015,John Doe,843 Main St,123-456-6789,johndoe@gmail.com
user016,Jane Doe,211 Main St,123-456-6789,janedoe@gmail.com
user017,John Doe,918 Main St,123-456-6789,johndoe@gmail.com
user018,Jane Doe,543 Main St,123-456-6789,janedoe@gmail.com
user019,John Doe,816 Main St,123-456-6789,johndoe@gmail.com
user020,Jane Doe,677 Main St,123-456-6789,janedoe@gmail.com
user021,John Doe,248 Main St,123-456-6789,johndoe@gmail.com
user022,Jane Doe,166 Main St,123-456-6789,janedoe@gmail.com
user023,Jane Doe,898 Main St,123-456-6789,janedoe@gmail.com
user024,Jane Doe,253 Main St,123-456-6789,janedoe@gmail.com
user025,Jane Doe,317 Main St,123-456-6789,janedoe@gmail.com
user026,Jane Doe,343 Main St,123-456-6789,janedoe@gmail.com
user027,John Doe,383 Main St,123-456-6789,johndoe@gmail.com
user028,Jane Doe,119 Main St,123-456-6789,janedoe@gmail.com
user029,John Doe,671 Main St,123-456-6789,johndoe@gmail.com
user030,John Doe,596 Main St,123-456-6789,johndoe@gmail.com
user031,John Doe,950 Main St,123-456-6789,johndoe@gmail.com
user032,John Doe,900 Main St,123-456-6789,johndoe@gmail.com
user033,John Doe,481 Main St,123-456-6789,johndoe@gmail.com
user034,Jane Doe,705 Main St,123-456-6789,janedoe@gmail.com
