cressystarchilly,Cresenta,Starchelle,1 Starlight Ln. New Sophiesville WA 98444,360-555-8231,c.starchelle@ahc.depts.astrometrics.gov,active,82314957.61
astra_mcnastra,Astra,Matsume,3261 SW. Starshine St. Yukayosha Prefecture YKP-2000,369-555-5555,a.matsume@ahc.depts.temporal.gov,active,2000.00
lilah4eva,Delilah,Matsuka,200 Limelight Dr. Misty Autumn WA 99222,360-555-9999,d.matsuka@ahc.depts.temporal.gov,active,3509.34
metoyoyo,Kima,Metoyo,200 Limelight Dr. Misty Autumn WA 99222,360-555-9998,k.metoyo@ahc.depts.temporal.gov,active,3510.35
yomimtska,Kayomi,Matsuka,1 Kayomi Matsuka Cosmetics Corporation Dr. Alwayssummer WA 98999,360-555-5683,kayomi@kmcc.com,inactive,0.00
katiestarchili,Katie,Starchelle,123 Starlight Ln. New Sophiesville WA 98444,360-555-2244,k.starchelle@ahc.depts.temporal-refactory.gov,inactive,17685042.39
lostcosmonaut,Svetlana,Ygorova,,,s.ygorova@ahc.depts.temporal-refactory.gov,inactive,99999999.99
mayristarchelly,Mayrina,Starchelle,9265 Starshine Dr. ,360-555-7827,m.starchelle@ahc.depts.astrometrics.gov,active,3.50
sophieloaphie,Sophia,McKeever,3261 SW Cinnamon St. New Sophiesville WA 98444,360-555-6468,sophia@sophieloaphiebakery.com,active,23000.00
kindaklutzy,Amelia,Bedelia,1 Cherry St. Misty Autumn WA 99222,360-555-6243,kindaklutzy@maidservice.com,active,200.00
