_id,name,address,phone_number,email
cust001,John,1234 Main St,1238880098,John@aol.com
cust002,Patrick,231 Side St,1234567890,Patrick@aol.com
cust003,Kim,2132 Back St,3432019212,Kim@aol.com
cust004,Jenny,328 Yard St,1239384908,Jenny@aol.com
cust005,Chris,838 Front St,7473629192,Chris@aol.com
cust006,Keith,192 List St,4748392910,Keith@aol.com
cust007,Sue,3626 Access Rd,3847382010,Sue@aol.com
cust008,Lisa,929 Court Rd,7474738902,Lisa@aol.com
cust009,George,444 Mobile St,9827363521,George@aol.com
cust010,John,234 Current Rd,1238271321,John@aol.com
