_id,name,address,phone_number,email
cust0001,George Lincoln,8124 130th Cir.,2599148214,George1@aol.com
cust0002,George Washington,490 134th Dr.,7159147683,George2@yahoo.com
cust0003,George Garfield,1078 106th Cir.,9660121107,George3@yahoo.com
cust0004,Mark Miller,9766 3rd St.,4375115831,Mark1@yahoo.com
cust0005,Megan Brown,4753 153rd Blvd.,5853052956,Megan1@yahoo.com
cust0006,Megan Washington,9550 187th Rd.,4171657941,Megan2@gmail.com
cust0007,Lisa Washington,3016 126th Ave.,4983922064,Lisa1@aol.com
cust0008,Tom Miller,3999 30th Dr.,1100632224,Tom1@msn.com
cust0009,Carly Miller,8890 186th Ave.,3489282312,Carly1@msn.com
cust0010,John Williams,3343 157th Ln.,6391323389,John1@gmail.com
cust0011,Carey Johnson,1973 29th Ln.,3258617712,Carey1@gmail.com
cust0012,Cary Garfield,5716 82nd Cir.,1822733386,Cary1@gmail.com
cust0013,Chris Davis,4360 128th Dr.,6983665255,Chris1@msn.com
cust0014,Cary Anderson,4078 25th Ave.,9532868909,Cary2@yahoo.com
cust0015,Jordan Johnson,4477 37th Rd.,6793452268,Jordan1@msn.com
cust0016,Carly Madison,1019 52nd Ln.,7519298582,Carly2@aol.com
cust0017,Pat Anderson,9175 58th Pky.,8593925021,Pat1@yahoo.com
cust0018,John Lincoln,8685 180th Ave.,4954840069,John2@yahoo.com
cust0019,Cary Johnson,1295 153rd Way,2425373728,Cary3@msn.com
cust0020,Sue Washington,7223 116th Dr.,2822239139,Sue1@msn.com
cust0021,Tom Anderson,929 2nd Pl.,9428484106,Tom2@aol.com
cust0022,Carly Washington,3947 37th Ave.,7655687467,Carly3@msn.com
cust0023,Megan Johnson,9846 66th Pl.,3594887472,Megan3@gmail.com
cust0024,Scott Madison,898 120th Rd.,5107522152,Scott1@yahoo.com
cust0025,Tom Brown,9172 100th Ln.,7459547042,Tom3@msn.com
cust0026,Megan Lincoln,4898 77th Blvd.,6183900812,Megan4@yahoo.com
cust0027,Sue Anderson,3760 147th St.,2851670730,Sue2@aol.com
cust0028,Carey Garfield,7024 17th Pky.,3986856279,Carey2@gmail.com
cust0029,Josh Garfield,1587 43rd St.,6996887423,Josh1@msn.com
cust0030,Jordan Johnson,6380 195th Cir.,5588876774,Jordan2@gmail.com
cust0031,Carey Anderson,6405 109th Ave.,9689256140,Carey3@gmail.com
cust0032,Pat Washington,3723 132nd Cir.,3359925553,Pat2@gmail.com
cust0033,Carly Johnson,1288 50th Rd.,2070331448,Carly4@msn.com
cust0034,Cary Garfield,1987 185th Pky.,5455039368,Cary4@yahoo.com
cust0035,Cary Anderson,7345 5th Pl.,8612437552,Cary5@msn.com
cust0036,Megan Smith,2589 11th Ave.,2406037579,Megan5@aol.com
