id,name,rentals
cst00001,Charlie,prd001 prd002
cst00002,Andrey,prd002 prd003
cst00003,Vijay,prd001 prd003
cst00004,Vijay,prd001 prd003
cst00005,Vijay,prd001 prd003
cst00006,Vijay,prd001 prd003
cst00007,Vijay,prd001 prd003
cst00008,Vijay,prd001 prd003
cst00009,Vijay,prd001 prd003
cst00010,Vijay,prd001 prd003
cst00011,Vijay,prd001 prd003
cst00012,Vijay,prd001 prd003
cst00013,Vijay,prd001 prd003
cst00014,Vijay,prd001 prd003
cst00015,Vijay,prd001 prd003
cst00016,Vijay,prd001 prd003
cst00017,Vijay,prd001 prd003
cst00018,Vijay,prd001 prd003
cst00019,Vijay,prd001 prd003
cst00020,Vijay,prd001 prd003
cst00021,Vijay,prd001 prd003
cst00022,Vijay,prd001 prd003
cst00023,Vijay,prd001 prd003
cst00024,Vijay,prd001 prd003
cst00025,Vijay,prd001 prd003
cst00026,Vijay,prd001 prd003
cst00027,Vijay,prd001 prd003
cst00028,Vijay,prd001 prd003
cst00029,Vijay,prd001 prd003
cst00030,Vijay,prd001 prd003
cst00031,Vijay,prd001 prd003
cst00032,Vijay,prd001 prd003
cst00033,Vijay,prd001 prd003
cst00034,Vijay,prd001 prd003
cst00035,Vijay,prd001 prd003
cst00036,Vijay,prd001 prd003
cst00037,Vijay,prd001 prd003
cst00038,Vijay,prd001 prd003
cst00039,Vijay,prd001 prd003
cst00040,Vijay,prd001 prd003
cst00041,Vijay,prd001 prd003
cst00042,Vijay,prd001 prd003
cst00043,Vijay,prd001 prd003
cst00044,Vijay,prd001 prd003
cst00045,Vijay,prd001 prd003
cst00046,Vijay,prd001 prd003
cst00047,Vijay,prd001 prd003
cst00048,Vijay,prd001 prd003
cst00049,Vijay,prd001 prd003
cst00050,Vijay,prd001 prd003
cst00051,Vijay,prd001 prd003
cst00052,Vijay,prd001 prd003
cst00053,Vijay,prd001 prd003
cst00054,Vijay,prd001 prd003
cst00055,Vijay,prd001 prd003
cst00056,Vijay,prd001 prd003
cst00057,Vijay,prd001 prd003
cst00058,Vijay,prd001 prd003
cst00059,Vijay,prd001 prd003
cst00060,Vijay,prd001 prd003
cst00061,Vijay,prd001 prd003
cst00062,Vijay,prd001 prd003
cst00063,Vijay,prd001 prd003
cst00064,Vijay,prd001 prd003
cst00065,Vijay,prd001 prd003
cst00066,Vijay,prd001 prd003
cst00067,Vijay,prd001 prd003
cst00068,Vijay,prd001 prd003
cst00069,Vijay,prd001 prd003
cst00070,Vijay,prd001 prd003
cst00071,Vijay,prd001 prd003
cst00072,Vijay,prd001 prd003
cst00073,Vijay,prd001 prd003
cst00074,Vijay,prd001 prd003
cst00075,Vijay,prd001 prd003
cst00076,Vijay,prd001 prd003
cst00077,Vijay,prd001 prd003
cst00078,Vijay,prd001 prd003
cst00079,Vijay,prd001 prd003
cst00080,Vijay,prd001 prd003
cst00081,Vijay,prd001 prd003
cst00082,Vijay,prd001 prd003
cst00083,Vijay,prd001 prd003
cst00084,Vijay,prd001 prd003
cst00085,Vijay,prd001 prd003
cst00086,Vijay,prd001 prd003
cst00087,Vijay,prd001 prd003
cst00088,Vijay,prd001 prd003
cst00089,Vijay,prd001 prd003
cst00090,Vijay,prd001 prd003
cst00091,Vijay,prd001 prd003
cst00092,Vijay,prd001 prd003
cst00093,Vijay,prd001 prd003
cst00094,Vijay,prd001 prd003
cst00095,Vijay,prd001 prd003
cst00096,Vijay,prd001 prd003
cst00097,Vijay,prd001 prd003
cst00098,Vijay,prd001 prd003
cst00099,Vijay,prd001 prd003
