customer_id,firstname,lastname,address,phone_number,email
customer_id0,firstname0,lastname0,address0,phone_number0,email0
customer_id1,firstname1,lastname1,address1,phone_number1,email1
customer_id2,firstname2,lastname2,address2,phone_number2,email2
customer_id3,firstname3,lastname3,address3,phone_number3,email3
customer_id4,firstname4,lastname4,address4,phone_number4,email4
customer_id5,firstname5,lastname5,address5,phone_number5,email5
customer_id6,firstname6,lastname6,address6,phone_number6,email6
customer_id7,firstname7,lastname7,address7,phone_number7,email7
customer_id8,firstname8,lastname8,address8,phone_number8,email8
customer_id9,firstname9,lastname9,address9,phone_number9,email9
customer_id10,firstname10,lastname10,address10,phone_number10,email10
customer_id11,firstname11,lastname11,address11,phone_number11,email11
customer_id12,firstname12,lastname12,address12,phone_number12,email12
customer_id13,firstname13,lastname13,address13,phone_number13,email13
customer_id14,firstname14,lastname14,address14,phone_number14,email14
customer_id15,firstname15,lastname15,address15,phone_number15,email15
customer_id16,firstname16,lastname16,address16,phone_number16,email16
customer_id17,firstname17,lastname17,address17,phone_number17,email17
customer_id18,firstname18,lastname18,address18,phone_number18,email18
customer_id19,firstname19,lastname19,address19,phone_number19,email19
customer_id20,firstname20,lastname20,address20,phone_number20,email20
customer_id21,firstname21,lastname21,address21,phone_number21,email21
customer_id22,firstname22,lastname22,address22,phone_number22,email22
customer_id23,firstname23,lastname23,address23,phone_number23,email23
customer_id24,firstname24,lastname24,address24,phone_number24,email24
customer_id25,firstname25,lastname25,address25,phone_number25,email25
customer_id26,firstname26,lastname26,address26,phone_number26,email26
customer_id27,firstname27,lastname27,address27,phone_number27,email27
customer_id28,firstname28,lastname28,address28,phone_number28,email28
customer_id29,firstname29,lastname29,address29,phone_number29,email29
customer_id30,firstname30,lastname30,address30,phone_number30,email30
customer_id31,firstname31,lastname31,address31,phone_number31,email31
customer_id32,firstname32,lastname32,address32,phone_number32,email32
customer_id33,firstname33,lastname33,address33,phone_number33,email33
customer_id34,firstname34,lastname34,address34,phone_number34,email34
customer_id35,firstname35,lastname35,address35,phone_number35,email35
customer_id36,firstname36,lastname36,address36,phone_number36,email36
customer_id37,firstname37,lastname37,address37,phone_number37,email37
customer_id38,firstname38,lastname38,address38,phone_number38,email38
customer_id39,firstname39,lastname39,address39,phone_number39,email39
customer_id40,firstname40,lastname40,address40,phone_number40,email40
customer_id41,firstname41,lastname41,address41,phone_number41,email41
customer_id42,firstname42,lastname42,address42,phone_number42,email42
customer_id43,firstname43,lastname43,address43,phone_number43,email43
customer_id44,firstname44,lastname44,address44,phone_number44,email44
customer_id45,firstname45,lastname45,address45,phone_number45,email45
