first_name,last_name,address,phone,email,customer_id
Sara,Perez,"9879 698th St., Charlotte, NC 54018",6381922507,Sara_Perez@random.com,user0000
Grace,Adams,"746 432nd Ave., Milwaukee, WI 60393",2639720139,Grace_Adams@random.com,user0001
David,Allen,"3770 203rd St., Kansas City, MO 20653",5777671126,David_Allen@random.com,user0002
George,Campbell,"2935 574th Ave., Phoenix, AZ 20183",2713496174,George_Campbell@random.com,user0003
Beverly,Allen,"2780 522nd Ave., San Diego, CA 79937",8277806119,Beverly_Allen@random.com,user0004
Juan,Hall,"4281 223rd St., Wichita, KS 16057",5640523205,Juan_Hall@random.com,user0005
Philip,Rodriguez,"8427 753rd Ave., Toledo, OH 55266",8208280536,Philip_Rodriguez@random.com,user0006
Frances,Hill,"5959 765th Ave., Cleveland, OH 53175",9699909585,Frances_Hill@random.com,user0007
Billy,Anderson,"3195 817th St., Miami, FL 27388",4838451769,Billy_Anderson@random.com,user0008
Alan,Simmons,"8578 953rd St., Charlotte, NC 82865",1109500241,Alan_Simmons@random.com,user0009
Andrea,Garcia,"1055 759th Ave., Riverside, CA 97775",4220456789,Andrea_Garcia@random.com,user0010
Donald,Kelly,"9 914th St., Louisville, KY 94183",4800980925,Donald_Kelly@random.com,user0011
Willie,Nelson,"2168 45th Ave., San Francisco, CA 11401",2742638281,Willie_Nelson@random.com,user0012
Christina,Miller,"1574 2nd St., Boston, MA 78993",8281334569,Christina_Miller@random.com,user0013
Amy,Jenkins,"8297 594th St., Bakersfield, CA 51860",8652881049,Amy_Jenkins@random.com,user0014
Olivia,Gonzales,"416 817th Ave., Cleveland, OH 95249",1588786386,Olivia_Gonzales@random.com,user0015
Larry,Rivera,"4701 592nd St., Austin, TX 48251",9073133752,Larry_Rivera@random.com,user0016
Julia,Richardson,"5948 63rd Ave., Colorado Springs, CO 62040",5088438814,Julia_Richardson@random.com,user0017
Billy,Lewis,"4695 941st Ave., San Jose, CA 50906",6611686218,Billy_Lewis@random.com,user0018
Jesse,Garcia,"1721 933rd Ave., Virginia Beach, VA 33312",3094081596,Jesse_Garcia@random.com,user0019
Dylan,Coleman,"7360 89th Ave., Chicago, IL 47012",2024438937,Dylan_Coleman@random.com,user0020
Douglas,Watson,"7513 944th St., Houston, TX 97739",4066298389,Douglas_Watson@random.com,user0021
Ralph,Clark,"2710 374th Ave., Anaheim, CA 58243",2866742106,Ralph_Clark@random.com,user0022
Elizabeth,Gonzales,"5891 688th St., Albuquerque, NM 69635",3867430010,Elizabeth_Gonzales@random.com,user0023
Christian,Wright,"8921 174th Ave., Buffalo, NY 75517",6442545888,Christian_Wright@random.com,user0024
Amber,Torres,"3164 106th St., Newark, NJ 70139",6767875224,Amber_Torres@random.com,user0025
George,Johnson,"3530 652nd Ave., Plano, TX 45401",6443285531,George_Johnson@random.com,user0026
