first_name,last_name,address,phone,email,customer_id
Emma,Davis,"3590 193rd Ave., Oklahoma City, OK 50804",8193165976,Emma_Davis@random.com,user0000
Steven,Sanchez,"5448 855th St., Pittsburgh, PA 47894",9083874867,Steven_Sanchez@random.com,user0001
Zachary,Wright,"6182 500th St., Philadelphia, PA 83812",1808148583,Zachary_Wright@random.com,user0002
Arthur,Bryant,"8457 383rd St., Boston, MA 43682",9271258904,Arthur_Bryant@random.com,user0003
Stephanie,Murphy,"7486 241st Ave., Nashville, TN 70776",9787357919,Stephanie_Murphy@random.com,user0004
Kyle,Bell,"4455 753rd Ave., Queens, NY 41125",3922783968,Kyle_Bell@random.com,user0005
Kayla,Perez,"8290 584th St., New Orleans, LA 49700",6296737796,Kayla_Perez@random.com,user0006
Jesse,Bailey,"6748 939th St., Las Vegas, NV 69852",6503023990,Jesse_Bailey@random.com,user0007
Kimberly,Hernandez,"1830 342nd Ave., Oklahoma City, OK 65647",2291030922,Kimberly_Hernandez@random.com,user0008
Logan,Watson,"1550 332nd Ave., Detroit, MI 45617",8905834999,Logan_Watson@random.com,user0009
Richard,Murphy,"7803 901st Ave., Honolulu, HI 20832",1387562012,Richard_Murphy@random.com,user0010
Abigail,Hayes,"3431 965th Ave., Louisville, KY 37113",3495837568,Abigail_Hayes@random.com,user0011
Jean,King,"335 706th Ave., Tampa, FL 19118",1512886666,Jean_King@random.com,user0012
Joyce,Barnes,"259 266th Ave., Orlando, FL 86625",6387118607,Joyce_Barnes@random.com,user0013
Brittany,Lee,"541 271st Ave., Colorado Springs, CO 77587",5222866312,Brittany_Lee@random.com,user0014
Emily,Hayes,"1663 567th St., Kansas City, MO 45113",3326057439,Emily_Hayes@random.com,user0015
Kenneth,Coleman,"9183 175th Ave., Minneapolis, MN 76085",8084845657,Kenneth_Coleman@random.com,user0016
Amber,Taylor,"5580 247th Ave., Virginia Beach, VA 58662",2132003102,Amber_Taylor@random.com,user0017
