customer_id,name,last_name,address,phone_number,email_address,status,credit_limit
C076760,Victoria,Donald,Rarotonga,539-955-5943,victoria.donald@gmail.io,True,38964.81
C211038,Shavonda,Russo,Samoa,305-991-1076,shavonda.russo@gmail.com,True,94546.6
C836393,Norma,Logie,Tuvalu,523-575-5584,norma.logie@gmail.com,True,53808.05
C131053,Jody,Smith,Tuvalu,385-718-6412,jody.smith@gmail.io,True,1189.5
C315771,Jason,Olsen,Rarotonga,456-792-6252,jason.olsen@gmail.net,True,15697.4
C437249,Mary,Adkins,Samoa,550-200-7018,mary.adkins@gmail.io,False,59938.73
C961310,Roderick,Garza,Tuvalu,601-810-5489,roderick.garza@gmail.net,True,87349.25
C563252,Steve,Banks,Samoa,224-206-7963,steve.banks@gmail.net,False,64851.97
C294023,Jessica,Frank,Samoa,152-830-2595,jessica.frank@gmail.net,True,6972.07
C382471,Sharron,Salvador,Tuvalu,222-174-1987,sharron.salvador@gmail.net,False,37199.62
C539555,Felicia,Morin,Rarotonga,604-773-5473,felicia.morin@gmail.org,True,45463.33
C262667,Tammy,Moynihan,Rarotonga,584-500-2856,tammy.moynihan@gmail.net,True,64923.63
C683734,Paige,Swanson,Samoa,654-465-4508,paige.swanson@gmail.net,False,55166.99
C198731,Tammy,Bowers,Samoa,168-294-7915,tammy.bowers@gmail.com,True,72122.47
C781187,Luther,Ruiz,Rarotonga,721-176-6613,luther.ruiz@gmail.com,True,10666.19
C272337,Elizabeth,Smith,Samoa,301-483-2906,elizabeth.smith@gmail.com,False,61978.86
C300881,Scott,Wright,Tuvalu,798-442-2425,scott.wright@gmail.io,False,54120.62
C710412,Dana,Ladouceur,Rarotonga,835-192-1642,dana.ladouceur@gmail.net,True,98143.28
C095214,Fannie,Simmons,Tuvalu,723-806-1309,fannie.simmons@gmail.net,False,72894.57
C939960,Chester,Ramirez,Tuvalu,396-381-5125,chester.ramirez@gmail.net,True,6603.35
C003253,Jenifer,Dudley,Samoa,627-650-3734,jenifer.dudley@gmail.org,True,23861.59
C089874,Ronnie,Ingram,Rarotonga,191-896-2505,ronnie.ingram@gmail.org,True,59167.21
C108439,Travis,Tuder,Tuvalu,798-142-5900,travis.tuder@gmail.org,True,23413.46
C688591,Alberto,Holcombe,Samoa,743-933-6127,alberto.holcombe@gmail.io,True,97486.26
C768097,Jeffery,Jelden,Tuvalu,146-716-4133,jeffery.jelden@gmail.io,True,45375.58
C591693,Franklin,Brady,Rarotonga,509- 78-964,franklin.brady@gmail.org,True,53219.77
C717878,Cesar,Becerra,Tuvalu,819-777-3210,cesar.becerra@gmail.io,False,91103.31
C196862,Nilda,Kash,Tuvalu,264-513-5891,nilda.kash@gmail.net,True,73846.3
C904090,Melvin,Turner,Samoa,512-978-4787,melvin.turner@gmail.net,True,29303.99
C691619,John,Owens,Samoa,  4-809-4038,john.owens@gmail.com,False,7109.71
C450695,Carrie,Poynter,Samoa,967-444-7815,carrie.poynter@gmail.org,False,28827.45
C194277,Elizabeth,West,Tuvalu,224-351-7231,elizabeth.west@gmail.net,True,20476.58
C665846,Amos,Harmon,Samoa,772-105-1077,amos.harmon@gmail.net,False,88340.26
C696550,Marisol,Wood,Tuvalu,771-620-7172,marisol.wood@gmail.io,False,56170.16
C137349,Alfred,Grimes,Tuvalu,141-916-9953,alfred.grimes@gmail.com,False,2566.44
C447838,Timothy,Allison,Tuvalu,657-991-2581,timothy.allison@gmail.com,True,33381.88
C389327,Gregory,Tobon,Rarotonga, 14-757-5367,gregory.tobon@gmail.com,False,40506.37
C441085,Kimberly,Linebarger,Tuvalu,502-730-540,kimberly.linebarger@gmail.io,True,56888.25
C662661,Sharon,Rees,Tuvalu,231-290-7877,sharon.rees@gmail.net,True,24366.02
C829991,Lelia,Wolters,Rarotonga,951-670-3848,lelia.wolters@gmail.io,False,59677.37
C046383,Charles,Young,Tuvalu,386-817-426,charles.young@gmail.org,True,98149.34
C834297,Kristen,Wright,Samoa,779-107-6943,kristen.wright@gmail.net,False,96660.57
C592851,Bert,Koo,Rarotonga,357-337-719,bert.koo@gmail.net,False,23962.85
C078761,Shawn,Adams,Tuvalu,111-632-1864,shawn.adams@gmail.com,True,27182.02
C028742,Sean,Miramon,Samoa,651-821-7651,sean.miramon@gmail.io,False,11028.22
C871783,Patricia,Alonzo,Rarotonga,597-383-1327,patricia.alonzo@gmail.io,True,8117.49
C474033,Anna,Zuniga,Samoa,622-331-1054,anna.zuniga@gmail.io,False,64812.52
C902757,Heather,Lockhart,Rarotonga,545-425-6613,heather.lockhart@gmail.com,True,30656.66
C666370,Gary,Cabrera,Tuvalu,921-653-3022,gary.cabrera@gmail.org,True,78053.62
C712404,Sandy,Tellez,Rarotonga,101-245-465,sandy.tellez@gmail.org,False,83210.73
C766888,Glen,Ryan,Rarotonga,433-255-7392,glen.ryan@gmail.org,False,82282.66
C877613,Rory,Feliciano,Rarotonga,299-264- 53,rory.feliciano@gmail.io,True,38674.88
C964822,Virgil,Hughes,Samoa,943-813-6443,virgil.hughes@gmail.com,False,39856.95
