customer_id,name,address,phone_number,email,credit_limit
user001,Teresa Mcclure,851 Vang Meadow Suite 345,+1-273-950-2255x63906,TeresaMcclure@uw.co,2000000
user002,Maria Williams,0945 Joseph Extensions,001-085-393-6102x941,MariaWilliams@gmail.org,4000000
user003,Melissa Grant,77889 Kelly Lakes,(206)837-2405x88910,MelissaGrant@hotmail.gov,30000
user004,Nicole Baker,125 Joshua Route,655-165-3366x797,NicoleBaker@python.co,600000
user005,Sarah Taylor,3279 Robert Dam,(272)762-2719,SarahTaylor@galaxy.gov,50000
user006,Todd Beard,288 Sanchez Trafficway,658-938-4000,ToddBeard@python.org,4000
user007,Erika Green,PSC 7212 Box 6487,(827)871-3282,ErikaGreen@universe.gov,80000
user008,Victor Williams,83970 Deborah Springs Suite 373,980-541-8608x4000,VictorWilliams@hpnorton.org,200000
user009,Gary Baker,66519 Sanchez Fort,(032)686-3163,GaryBaker@hpnorton.gov,50000
user010,Mary Khan,00890 David Trail Apt. 896,095-127-4633,MaryKhan@universe.org,10000
user011,Daniel Spears,9377 Samuel Trail Suite 308,+1-535-442-7970x90670,DanielSpears@aol.org,8000
user012,Miss Patricia West,92712 Angela Inlet,880.555.9523,MissPatriciaWest@aol.org,400000
user013,Amy Torres,05645 Jason Points Suite 905,(510)188-4567x88858,AmyTorres@gmail.org,9000000
user014,John Todd,611 Bentley Orchard Suite 534,(639)082-6838,JohnTodd@hpnorton.com,9000
user015,Travis Cox,353 Patricia Ports,116-891-6224,TravisCox@gmail.edu,10000
user016,Kathryn Foley,058 Smith Harbor,(689)607-7322x2632,KathrynFoley@aol.org,3000
user017,Evelyn Wang DDS,8916 Jennifer Shoal,001-326-099-2747x03800,EvelynWangDDS@uw.edu,60000
user018,Joseph Allen,199 Gordon Spring Apt. 154,466-318-1292,JosephAllen@gmail.com,1000000
user019,Amber Steele,2092 Rice Islands,081.636.6443x38053,AmberSteele@football.co,2000
user020,Anthony Collins DVM,083 William Wells,+1-456-202-5843x5748,AnthonyCollinsDVM@python.net,8000000
user021,Kyle White,1069 Thomas Mall Suite 269,+1-151-485-2971,KyleWhite@gmail.co,3000000
user022,Stephanie Aguilar,55978 Martin Village Suite 056,+1-752-029-5341x81744,StephanieAguilar@hotmail.co,40000
user023,Michael Brennan,786 Bailey Coves Apt. 646,669.529.6227x6381,MichaelBrennan@hpnorton.edu,30000
user024,Donald Duncan,017 Carolyn Tunnel Apt. 425,026.100.4595x3639,DonaldDuncan@gmail.co,100000
user025,William Sosa,7014 Wheeler Circles,299-749-3550,WilliamSosa@hpnorton.net,600000
user026,Jeffrey Osborne,860 Matthew Mills Suite 331,001-790-680-3525x0120,JeffreyOsborne@galaxy.co,10000
user027,William Roberts,357 Kerr Lakes,312-922-6802,WilliamRoberts@hotmail.edu,20000
user028,Molly Joseph,63723 Wagner River Apt. 662,(142)797-8363x99115,MollyJoseph@python.gov,3000000
user029,Audrey Morales,2991 Martinez Inlet Apt. 428,+1-316-845-1142x0214,AudreyMorales@football.gov,6000000
user030,Kathryn Reynolds,9459 Jacqueline Key Suite 497,+1-025-939-5699x3848,KathrynReynolds@hpnorton.net,4000
user031,Michael Cole,97061 David Fort Apt. 529,691.052.1271,MichaelCole@football.net,4000000
user032,Debra Thomas,440 Wells Camp Suite 464,001-292-187-8711,DebraThomas@python.net,2000
user033,Jessica Jackson,13459 Sanders Mews,(286)352-0085,JessicaJackson@galaxy.gov,800000
user034,Richard Rivera,0434 Lewis Skyway Apt. 623,831.737.8606,RichardRivera@gmail.net,5000
user035,Vanessa Johnson,79139 Williams Corner Suite 221,(647)727-0295,VanessaJohnson@universe.co,50000
user036,Cynthia Smith,705 Eric Locks,736.435.2576,CynthiaSmith@hpnorton.org,30000
user037,Jacqueline Franklin,93435 Wood Mall Suite 070,157.605.0016x68753,JacquelineFranklin@hpnorton.gov,7000000
user038,Anthony Werner,0842 Antonio Lodge Apt. 245,441.153.2179x96392,AnthonyWerner@galaxy.edu,1000000
user039,Douglas Wilson,PSC 9558 Box 7222,618.514.6819x74448,DouglasWilson@universe.co,4000000
user040,Tracy Warren,49647 Krista Dam,742.512.5280x7515,TracyWarren@hotmail.com,2000000
user041,Michael Barrera,4138 Darren Square,001-469-462-3272x228,MichaelBarrera@uw.co,200000
user042,Michael Crawford,7862 Hensley Neck,+1-523-061-6938x448,MichaelCrawford@galaxy.com,90000
user043,Lisa Keller,0204 Bailey Haven,5205526686,LisaKeller@hotmail.gov,7000000
user044,Teresa Moreno,50618 Monica Plains,001-297-851-7160x9340,TeresaMoreno@gmail.org,50000
user045,Mr. Adam Wang,419 Scott Courts,001-289-868-3227x07398,Mr.AdamWang@gmail.edu,3000000
user046,Joseph Solis,USCGC Erickson,126.494.5163x28051,JosephSolis@hotmail.org,200000
user047,Larry Brady,424 Reed Center Apt. 962,486-148-3543x10657,LarryBrady@football.net,300000
user048,Gerald Ford,76372 Burnett Loaf Suite 218,496-279-3244x1729,GeraldFord@universe.org,100000
user049,Scott Moreno,55667 Michael Pike Suite 974,883.626.4304x8275,ScottMoreno@universe.com,400000
user050,Michelle Castillo,95836 Jason Trail,810-263-7142,MichelleCastillo@python.edu,100000
user051,Ryan Bennett,95547 Garrett Track Suite 383,001-653-437-8706x3341,RyanBennett@football.net,700000
user052,Patricia Chavez,99725 Brown Via Apt. 955,(517)758-4173,PatriciaChavez@uw.edu,4000
user053,Shane Simon,664 Schaefer Gateway,561-387-5478,ShaneSimon@hotmail.net,8000000
user054,Antonio Frazier,15756 Lewis Coves,+1-971-390-7034x5271,AntonioFrazier@hpnorton.edu,8000000
user055,Paula Brown,208 Smith Points Apt. 292,(454)788-5554,PaulaBrown@galaxy.edu,4000000
user056,Shannon Stevens,95088 Amy Freeway Apt. 130,211.391.3160x2018,ShannonStevens@gmail.net,5000
user057,Kimberly Fischer,Unit 4687 Box 3245,875-753-9366,KimberlyFischer@aol.com,4000
user058,Julie Gates,740 Burton Isle,001-543-473-2938x4706,JulieGates@hpnorton.co,90000
user059,Kristi Lee,909 Roberta Mill Suite 746,(242)374-5480x4297,KristiLee@aol.edu,100000
user060,Vanessa Elliott,01203 Roberts Divide Apt. 291,531-861-0195,VanessaElliott@galaxy.org,60000
user061,John Jones,71990 Amanda Way,+1-955-399-2094,JohnJones@universe.gov,2000000
user062,Michael Paul,PSC 4032 Box 7488,(737)613-1028,MichaelPaul@python.edu,70000
user063,Andrea Oconnor,37278 Derek Crest Apt. 461,498.878.0343x205,AndreaOconnor@uw.gov,800000
user064,Sandra Walls,3440 Raymond Highway Suite 852,001-772-862-0264x51774,SandraWalls@hpnorton.edu,6000000
user065,Robert Poole,1776 Hull Club,+1-304-932-2558,RobertPoole@gmail.co,5000
user066,Nicole Griffin,49349 Stevenson Road,990.046.3406x7218,NicoleGriffin@hotmail.gov,200000
user067,Richard Watkins,94586 Robert Squares,+1-672-586-7752x3805,RichardWatkins@galaxy.co,8000000
user068,Jean Gonzalez,0181 Laura Hills Apt. 133,+1-139-974-3804x7949,JeanGonzalez@python.com,30000
user069,Joshua Lee,Unit 5579 Box 7243,(239)968-1538,JoshuaLee@python.edu,1000000
user070,Richard Phillips,81700 Middleton Unions Apt. 482,8633731873,RichardPhillips@python.edu,8000
user071,John Anderson,852 Donna Summit,038.689.7295x6270,JohnAnderson@hpnorton.co,2000
user072,Sarah Stanley,44913 Janice Drive,(827)545-0898,SarahStanley@hpnorton.gov,8000000
user073,Kevin Tucker,52935 Mayer Plaza,+1-449-286-6878x598,KevinTucker@hpnorton.com,6000
user074,Jennifer Marks,5270 Reese Ramp,001-081-785-2399,JenniferMarks@aol.org,10000
user075,Erica Parks,97712 Michael Island Apt. 320,001-118-145-7817,EricaParks@hpnorton.gov,800000
user076,Timothy Benton,679 Jeffrey Key,7772034120,TimothyBenton@universe.org,600000
user077,Chase Christensen,Unit 5043 Box 5110,(308)220-5741,ChaseChristensen@football.edu,200000
user078,Dennis Harris,225 Walter Heights,+1-672-219-2122,DennisHarris@uw.com,7000000
user079,Joshua Fox,062 Patrick Hill Suite 915,180-752-1432x91362,JoshuaFox@hotmail.net,4000
user080,Tiffany Choi,6252 Davis Plaza,+1-784-078-0849x937,TiffanyChoi@football.edu,8000
user081,Peter Fox,USNV Copeland,001-333-736-6299,PeterFox@football.org,6000000
user082,Samantha Gonzalez,57444 Collins Hollow,001-809-595-7266x060,SamanthaGonzalez@hpnorton.gov,1000
user083,Alexandra Payne,83710 Dana Viaduct,913-831-9607,AlexandraPayne@python.edu,7000000
user084,Valerie Ross,6988 Jon Bypass Apt. 569,883-627-0947x035,ValerieRoss@hotmail.gov,40000
user085,Michelle Peterson,Unit 6599 Box 0609,(308)444-7581x6084,MichellePeterson@universe.net,8000
user086,Dean Smith,60345 Anderson Inlet Suite 743,527-252-7077x19016,DeanSmith@hotmail.co,90000
user087,Sharon Sanchez,45254 James Avenue Suite 758,(177)901-3487x7988,SharonSanchez@galaxy.edu,600000
user088,Kara White,24550 Felicia Stravenue,6361300692,KaraWhite@aol.com,200000
user089,Bryan Mack,5748 Walker Path,956-895-9267,BryanMack@aol.co,3000
user090,Kathleen Davidson,674 Adams Mount,+1-992-356-3751x525,KathleenDavidson@football.com,7000000
user091,Justin Smith,0680 Marcus Pike,+1-267-871-8130x32973,JustinSmith@football.gov,500000
user092,Margaret Rodriguez,61709 Hansen Shores,(094)149-4387,MargaretRodriguez@python.org,9000
