"user_id","name","address","phone_number","email"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
"U01876","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U00568","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U02990","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U04392","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U09635","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U08402","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U05156","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U05206","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U08045","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U05245","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U02212","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U03181","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U06499","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U02943","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U08653","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U02442","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U07919","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U00539","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U06149","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
"U01497","firstname, lastname","1 Nowhere Dr, Middleland, NO","999-999-9999","me@here.com"
