user_id,name,address,phone_number,email
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
U001,"Steve Jobs","One Infinite Loop, Cupertino, CA 95014","800-275-2273","steve@apple.com"
U002,"Bill Gates","440 5th Ave N., Seattle, WA 98109440 5th Ave N., Seattle, WA 98109","206-709-3100 ext. 7100","bill.gates@gatesfoundation.org"
U003,"Mark Zuckerberg","1 Hacker Way, Menlo Park, California 94025",,"mz@fb.com"
